0 8021693 7216259 7409895
1 8225194 7415070 7768122
2 8297639 7473137 7595859
3 8208053 7864669 7961674
4 8544798 7750334 7828517
5 7945631 7907425 8093681
6 8424056 7727710 8049244
7 8006647 7861417 8009768
8 8484058 7898006 8072059
9 8247554 7699211 7762347
10 8137280 7671861 7945785
11 8065638 7156351 7578080
12 7439512 6987839 7834515
13 7765462 6755164 7669140
14 7677764 7194131 7573621
15 8309181 7246663 7640810
16 7911473 7121832 7434359
17 8177900 7167840 7588193
18 8067212 6921906 7252108
19 7991447 7184442 7524253
20 8629940 7403915 7314346
21 8196001 7681880 7717250
22 8544547 7610369 7749175
23 8099862 7732818 7758952
24 8575874 7940078 7993267
25 8259514 7857709 7926000
26 8139014 7957548 8233467
27 8228376 7713802 8027901
28 7872747 7861132 8278736
29 8251914 7584208 7971189
30 7798624 7586105 7927079
31 8407117 7540576 7834880
32 8178228 7495724 7479588
33 8457900 7480309 7571386
34 8256915 7077315 7239125
35 8096236 7219844 7501678
36 8336636 6876990 7145093
37 7920928 7038910 7315936
38 8439110 6988946 7260251
39 7914375 7020616 7212427
40 8256460 6977466 7374665
41 8157796 7171709 7324724
42 8131505 7413740 7754436
43 8046289 7159928 7623447
44 7732995 7488302 7957597
45 8515996 7579888 7694826
46 8382124 7996356 7792466
47 8619329 7801206 7895019
48 8053353 7683867 7810767
49 8277802 7686477 7961632
50 8119950 7361836 7670752
51 7845453 7455752 7951683
52 8273656 7263372 7539742
53 7991756 7315669 7510241
54 8347176 7002794 7370228
55 7750761 6855459 7223427
56 8084489 6703947 7222354
57 7835014 6564507 6964689
58 8138725 6907201 7228546
59 8304674 6855113 6955617
60 8025086 7101855 7320951
61 8348365 6951690 7311909
62 7875363 7193403 7484279
63 8512058 7390332 7554745
64 8115414 7330327 7438528
65 8367316 7423028 7643115
66 8173691 7313233 7452471
67 8130265 7610583 7886992
68 8104072 7368202 7809260
69 7663609 7466902 7954861
70 8101490 7122378 7690345
71 7578420 7070877 7593229
72 7917891 6788883 7526840
73 7589783 6619055 7288918
74 7951729 6871108 7424772
